#cheat Ultimate Ramp Park!
//ID: 15906
//Score: 89
//Author: smeg
//Category: Environment
//Description: Over 20 ramps! The BEST Mod EVER! See the pic, Get the cheat! Brian M Abel Spammed my jump! Go to for more pics http://wes.payne.googlepages.com/ramppark
//Image: http://wes.payne.googlepages.com/screen4.bmp
//Time: 03/08/2006 12:07:46
//Working: Yes
moveto(278.96, -607.58, 36.28);  object(0x01BF, 245, 0, 179);
move(7.82, -0.27, 0.00);  object(0x01BF, 245, 0, 180);
move(7.95, 0.32, 0.00);  object(0x01BF, 245, 0, 180);
move(-8.27, -7.03, 2.60);  object(0x01BF, 245, 0, 180);
move(0.01, -5.86, 2.70);  object(0x01BF, 245, 0, 180);
move(-0.52, -5.68, 2.40);  object(0x01BF, 245, 0, 187);
moveto(285.20, -631.64, 46.68);  object(0x01BF, 65, 0, 191);
move(-0.83, -4.60, 2.60);  object(0x01BF, 60, 0, 188);
move(-0.81, -5.48, 2.80);  object(0x01BF, 60, 0, 188);
move(-0.70, -5.41, 2.70);  object(0x01BF, 65, 0, 185);
moveto(282.38, -653.15, 57.58);  object(0x01BF, 65, 0, 183);
move(-0.35, -5.83, 2.90);  object(0x01BF, 65, 0, 183);
move(-0.43, -5.74, 2.70);  object(0x01BF, 65, 0, 186);
move(-0.60, -5.66, 2.80);  object(0x01BF, 65, 0, 186);
move(3.04, -47.21, -0.43);  object(0x01BF, 90, 0, 182);
move(7.79, -0.33, 0.00);  object(0x01BF, 90, 0, 182);
move(8.13, -0.03, 0.00);  object(0x01BF, 90, 0, 180);
move(-0.47, -5.51, 0.10);  object(0x01BF, 90, 0, 184);
move(-15.37, 0.94, 0.00);  object(0x01BF, 90, 0, 184);
move(7.59, -0.46, 0.00);  object(0x01BF, 90, 0, 184);
move(4.29, -0.26, 0.00);  object(0x01BF, 90, 0, 184);
move(2.73, -5.27, 0.10);  object(0x01BF, 90, 0, 185);
move(-5.58, 0.51, 0.00);  object(0x01BF, 90, 0, 185);
move(-4.08, 0.38, 0.00);  object(0x01BF, 90, 0, 185);
move(-4.68, 0.43, 0.00);  object(0x01BF, 90, 0, 185);
move(-1.46, 44.76, 0.57);  object(0x01BF, 90, 0, 180);
move(5.90, -0.01, 0.00);  object(0x01BF, 90, 0, 180);
move(-0.04, -5.27, 0.00);  object(0x01BF, 90, 0, 180);
move(-6.50, -0.02, 0.00);  object(0x01BF, 90, 0, 180);
move(-0.68, 5.71, 0.00);  object(0x01BF, 90, 0, 180);
move(2.70, -31.78, -0.82);  object(0x01BF, 90, 0, 180);
move(7.32, 0.35, 0.00);  object(0x01BF, 90, 0, 180);
move(7.64, -0.04, 0.00);  object(0x01BF, 90, 0, 180);
move(0.07, 6.15, -0.10);  object(0x01BF, 90, 0, 180);
move(-7.19, 0.11, 0.00);  object(0x01BF, 90, 0, 180);
move(-7.68, 0.16, 0.00);  object(0x01BF, 90, 0, 181);
move(0.02, 5.60, 0.00);  object(0x01BF, 90, 0, 181);
move(7.77, -0.22, 0.00);  object(0x01BF, 90, 0, 180);
move(7.57, 0.11, 0.00);  object(0x01BF, 90, 0, 180);
move(-0.12, 6.09, 0.00);  object(0x01BF, 90, 0, 180);
move(-6.87, -0.04, 0.00);  object(0x01BF, 90, 0, 180);
move(-7.36, -1.07, 0.00);  object(0x01BF, 90, 0, 180);
move(131.32, -166.58, -39.23);  object(0x01BF, 65, 0, 180);
move(-6.89, -0.09, 0.00);  object(0x01BF, 65, 0, 181);
move(6.45, -128.53, 0.00);  object(0x01BF, 60, 0, 359);
move(8.18, 1.09, 0.00);  object(0x01BF, 65, 0, 359);
move(-78.72, 293.97, -0.15);  object(0x01BF, 60, 0, 90);
move(0.04, -7.40, 0.00);  object(0x01BF, 60, 0, 90);
move(-93.88, 609.13, -4.99);  object(0x01BF, 60, 0, 2);
move(7.59, -0.30, 0.00);  object(0x01BF, 60, 0, 2);
moveto(-71.80, -588.01, 26.26);  object(0x01BF, 60, 0, 1);
move(7.40, -0.09, 0.00);  object(0x01BF, 60, 0, 1);
move(-15.30, 0.20, 0.00);  object(0x01BF, 60, 0, 1);
move(71.59, -18.23, -1.55);  object(0x01BF, 60, 0, 0);
move(8.00, -0.07, 0.00);  object(0x01BF, 60, 0, 0);
move(361.44, -19.31, -4.26);  object(0x01BF, 60, 0, 90);
move(-142.33, 4.15, 5.76);  object(0x01BF, 60, 0, 270);
moveto(251.47, -482.35, 26.12);  object(0x01BF, 245, 0, 180);
move(0.56, -63.69, -0.30);  object(0x01BF, 245, 0, 0);

#cheat Tonis portland harbour warhouse(updated Again)
//ID: 15788
//Score: 40
//Author: ELLIS1991
//Category: Environment
//Description: Tonis portland harbour warhouse this is one good cheats stay tuned for further updates......
//
//Image: none
//Time: 01/08/2006 11:57:10
//Working: Yes
moveto(1314.21, -1502.80, 0.54);  object(0x01BF, 90, 0, 12);
move(7.71, -1.71, 0.00);  object(0x01BF, 90, 0, 12);
move(7.71, -1.71, 0.00);  object(0x01BF, 90, 0, 12);
move(-1.37, -6.21, 0.00);  object(0x01BF, 90, 0, 12);
move(-7.71, 1.71, 0.00);  object(0x01BF, 90, 0, 12);
move(-7.71, 1.71, 0.00);  object(0x01BF, 90, 0, 12);
move(-1.32, -6.01, 0.00);  object(0x01BF, 90, 0, 13);
move(7.79, -1.88, 0.00);  object(0x01BF, 90, 0, 13);
move(7.61, -1.71, 0.00);  object(0x01BF, 90, 0, 13);
move(-23.08, 5.38, 0.00);  object(0x01BF, 90, 0, 13);
move(1.24, 5.75, 0.00);  object(0x01BF, 90, 0, 12);
move(1.26, 6.36, 0.00);  object(0x01BF, 270, 0, 192);
move(28.16, -19.26, 0.00);  object(0x01BF, 90, 0, 14);
move(7.76, -1.91, 0.00);  object(0x01BF, 90, 0, 14);
move(-46.01, 10.89, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.76, 1.94, 0.00);  object(0x01BF, 90, 0, 14);
move(52.21, -19.11, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.76, 1.92, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.57, 1.87, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.55, 1.94, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.76, 1.91, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.76, 1.91, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.76, 1.92, 0.00);  object(0x01BF, 90, 0, 14);
move(-7.46, 1.88, 0.00);  object(0x01BF, 90, 0, 14);
move(57.70, -13.74, 3.10);  object(0x01BF, 180, 0, 284);
move(1.27, 5.04, 0.00);  object(0x01BF, 180, 0, 284);
move(-5.96, -7.91, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.68, 1.87, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.68, 1.87, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.58, 1.85, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.77, 1.89, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.77, 1.89, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.48, 1.82, 0.00);  object(0x01BF, 180, 0, 14);
move(-7.77, 1.89, 0.00);  object(0x01BF, 180, 0, 14);
move(-3.04, 4.76, 0.00);  object(0x01BF, 180, 0, 104);
move(1.17, 4.76, 0.00);  object(0x01BF, 180, 0, 104);
move(4.59, 2.97, 0.00);  object(0x01BF, 180, 0, 194);
move(7.76, -1.94, 0.00);  object(0x01BF, 180, 0, 194);
move(46.39, -11.00, 0.00);  object(0x01BF, 180, 0, 194);
move(-7.75, 1.95, 0.00);  object(0x01BF, 180, 0, 194);
move(-7.66, 1.93, 0.00);  object(0x01BF, 180, 0, 194);
move(-23.39, 5.27, 0.00);  object(0x01BF, 180, 0, 194);
move(76.64, 15.62, -21.80);  object(0x0239, 0, 0, 8);
move(-68.58, -17.61, 20.70);  object(0x01E4, 0, 0, 13);
move(10.54, -2.03, 0.00);  object(0x01E4, 0, 0, 15);
move(7.68, -6.20, 1.20);  object(0x01BF, 0, 0, 284);
move(3.65, -6.71, -0.40);  object(0x01BF, 90, 225, 196);
move(6.07, -0.82, 2.70);  object(0x01BF, 90, 180, 285);
move(1.16, -0.30, 0.00);  object(0x01BF, 90, 180, 285);
move(1.19, 4.92, 0.00);  object(0x01BF, 90, 180, 285);
move(-4.30, 1.62, 0.00);  object(0x01BF, 90, 180, 13);
move(-3.76, 0.92, 0.00);  object(0x01BF, 90, 180, 13);
move(-9.21, -4.22, 1.00);  object(0x01BF, 90, 180, 194);
move(1.65, 6.39, 0.00);  object(0x01BF, 90, 180, 194);
move(-7.66, 1.98, 0.00);  object(0x01BF, 90, 180, 195);
move(-1.64, -6.34, 0.00);  object(0x01BF, 90, 180, 194);
move(-8.17, 1.93, 0.00);  object(0x01BF, 90, 180, 194);
move(2.06, 6.29, 0.00);  object(0x01BF, 90, 180, 194);
move(-0.74, -6.62, 0.00);  object(0x01BF, 90, 180, 194);
move(-6.95, 8.44, 0.00);  object(0x01BF, 90, 180, 194);
move(-1.63, -6.50, 0.00);  object(0x01BF, 90, 180, 194);
move(-7.53, 1.78, 0.00);  object(0x01BF, 90, 180, 194);
move(1.63, 6.50, 0.00);  object(0x01BF, 90, 180, 194);
move(-7.78, 1.95, 0.00);  object(0x01BF, 90, 180, 194);
move(-1.63, -6.50, 0.00);  object(0x01BF, 90, 180, 194);
moveto(1337.69, -1524.35, 0.92);  object(0x0F36, 0, 0, 15);
move(-0.30, -0.95, -0.30);  object(0x1004, 0, 0, 15);
move(-15.20, 3.93, 10.79);  object(0x0DD6, 0, 0, 229);
move(14.64, -8.82, -10.19);  object(0x021B, 0, 0, 11);
move(0.93, -0.08, 0.00);  object(0x021B, 0, 0, 11);
move(-1.55, 10.33, 0.00);  object(0x021B, 0, 0, 11);
move(-0.01, -0.29, 0.70);  object(0x0F74, 0, 0, 161);
move(-50.54, 7.06, 6.70);  object(0x0CD1, 0, 0, 105);
move(1.36, 5.19, 0.00);  object(0x0CD1, 0, 0, 105);
moveto(1297.58, -1517.56, 3.52);  object(0x01BF, 0, 0, 285);
move(4.68, 3.20, 0.10);  object(0x01BF, 0, 0, 187);
move(3.71, -3.01, -1.30);  object(0x01E4, 0, 0, 101);
move(-0.54, -1.40, 3.00);  object(0x01E4, 0, 0, 101);
move(23.81, -6.89, -4.70);  object(0x0239, 0, 0, 287);
move(-2.22, 10.80, 3.10);  object(0x0369, 0, 0, 14);
move(-21.64, 4.92, 0.00);  object(0x0369, 0, 0, 14);
moveto(1330.40, -1522.59, 2.62);  object(0x0F90, 270, 0, 281);
move(-0.02, 0.31, 0.00);  object(0x0F90, 270, 0, 281);
move(0.00, 0.28, 0.00);  object(0x0F90, 270, 0, 282);
move(0.06, 0.29, 0.00);  object(0x0F90, 270, 0, 282);
moveto(1284.33, -1510.93, 2.12);  object(0x0F90, 0, 0, 15);
move(0.32, -0.06, 0.00);  object(0x0F90, 0, 0, 15);
move(6.30, -8.52, 0.00);  object(0x0F90, 0, 0, 285);
move(0.07, 0.29, 0.00);  object(0x0F90, 0, 0, 285);
move(-0.10, 0.03, 1.40);  object(0x0F90, 0, 0, 285);
move(0.05, 0.23, 0.00);  object(0x0F90, 0, 0, 284);
move(-6.76, 8.11, 0.00);  object(0x0F90, 0, 0, 12);
move(0.25, -0.03, 0.00);  object(0x0F90, 0, 0, 13);
move(7.13, 3.70, 0.00);  object(0x0F90, 0, 0, 104);
move(-0.05, -0.22, 0.00);  object(0x0F90, 0, 0, 104);
move(0.08, 0.32, -1.00);  object(0x0F90, 0, 0, 104);
move(-0.06, -0.23, 0.00);  object(0x0F90, 0, 0, 104);
move(1.87, -13.13, -0.80);  object(0x0F90, 90, 0, 286);
move(-4.96, 1.49, 0.40);  object(0x0F90, 90, 0, 289);
move(0.19, 0.43, 0.50);  object(0x0F90, 90, 0, 292);
move(4.90, -1.51, 0.00);  object(0x0F90, 90, 0, 292);
move(-8.41, 11.39, 0.60);  object(0x0F90, 90, 0, 11);
move(-1.06, -5.29, 0.00);  object(0x0F90, 90, 0, 11);
move(-0.53, 0.12, 0.00);  object(0x0F90, 90, 0, 10);
move(0.60, 3.25, 0.00);  object(0x0F90, 90, 0, 10);
move(0.81, 1.89, 0.00);  object(0x0F90, 90, 0, 6);
move(9.00, 1.08, -0.30);  object(0x0F90, 90, 0, 98);
move(-5.29, 1.15, 0.00);  object(0x0F90, 90, 0, 97);
moveto(1284.63, -1516.80, 1.12);  object(0x0218, 0, 0, 257);
move(-0.28, 1.17, 0.00);  object(0x0218, 0, 0, 257);
move(0.14, -0.58, 0.90);  object(0x0218, 0, 0, 257);
move(0.45, 6.44, -0.90);  object(0x0218, 0, 0, 282);
move(12.93, -3.79, 0.10);  object(0x0218, 0, 0, 282);
move(-6.34, -5.89, 1.30);  object(0x0217, 0, 0, 282);
move(-1.11, 0.49, 1.40);  object(0x0217, 0, 0, 282);
move(-6.25, 7.31, -1.40);  object(0x0217, 0, 0, 282);
move(11.80, 2.42, -1.30);  object(0x0217, 0, 0, 282);
move(-12.03, -3.79, 2.70);  object(0x020C, 95, 0, 282);
move(6.14, -6.04, -1.40);  object(0x020C, 95, 0, 202);
move(-5.15, 9.54, 0.00);  object(0x022C, 355, 0, 306);
move(7.63, -10.09, 1.40);  object(0x022C, 355, 0, 188);
move(-6.58, 1.78, -2.80);  object(0x0214, 355, 0, 282);
move(11.28, 2.10, 0.00);  object(0x0214, 0, 0, 102);
move(-0.20, -0.77, 0.00);  object(0x0214, 0, 0, 102);
moveto(1290.39, -1506.97, 2.72);  object(0x0114, 0, 0, 12);
move(2.59, -0.74, -0.10);  object(0x011C, 0, 0, 6);
move(-1.30, 0.16, 1.00);  object(0x011F, 0, 0, 10);
move(-2.29, 0.69, 0.00);  object(0x011E, 0, 0, 8);
moveto(1321.82, -1525.63, 1.52);  object(0x0F34, 0, 0, 194);
move(5.44, 7.94, -0.20);  object(0x0DB6, 0, 0, 149);
move(-16.50, -4.88, -0.40);  object(0x0216, 0, 0, 149);
moveto(1330.92, -1533.58, 7.02);  object(0x01BF, 90, 0, 284);
move(-5.31, 1.40, 0.00);  object(0x01BF, 90, 0, 105);
move(3.58, -8.67, 2.10);  object(0x01BF, 90, 330, 105);
move(-5.55, 1.52, 0.00);  object(0x01BF, 90, 330, 105);
move(-1.98, -7.17, 2.00);  object(0x01BF, 90, 0, 105);
move(5.70, -1.54, 0.00);  object(0x01BF, 90, 0, 284);
move(-1.96, -7.58, 0.00);  object(0x01BF, 90, 0, 285);
move(-5.79, 1.54, 0.00);  object(0x01BF, 90, 0, 285);
move(3.71, -9.16, 0.00);  object(0x01BF, 90, 0, 285);
move(-5.76, 1.52, 0.00);  object(0x01BF, 90, 0, 285);
move(13.09, 13.48, -3.80);  object(0x01BF, 90, 90, 14);
move(-1.56, -6.31, 0.00);  object(0x01BF, 90, 90, 14);
move(-1.58, -6.41, 0.00);  object(0x01BF, 90, 90, 14);
move(-0.93, -3.78, 0.00);  object(0x01BF, 90, 90, 14);
move(-4.00, -2.47, 0.00);  object(0x01BF, 90, 90, 102);
move(-6.16, 1.32, 0.00);  object(0x01BF, 90, 90, 102);
move(-2.38, 3.87, 0.00);  object(0x01BF, 90, 90, 194);
move(1.59, 6.51, 0.00);  object(0x01BF, 90, 90, 194);
move(1.56, 6.41, 0.00);  object(0x01BF, 90, 90, 194);
move(1.02, 4.18, 0.00);  object(0x01BF, 90, 90, 194);
move(-2.73, 0.04, 3.80);  object(0x01BF, 90, 180, 105);
move(4.54, 5.60, -3.80);  object(0x01BF, 90, 270, 195);
move(2.29, 8.29, 0.00);  object(0x01BF, 90, 270, 195);
moveto(1332.36, -1541.85, 7.32);  object(0x01BF, 0, 90, 285);
move(1.63, 6.29, 0.00);  object(0x01BF, 0, 90, 285);
move(0.43, 1.65, 0.00);  object(0x01BF, 0, 90, 285);
move(-8.06, 1.81, -3.90);  object(0x01BF, 90, 180, 16);
move(4.04, -1.15, 0.00);  object(0x01BF, 90, 180, 16);
move(-5.98, -4.96, 0.00);  object(0x01BF, 90, 180, 16);
